peakN	Chr	Start	End	Strand	Length	Arm_P14_Day30_H3K9me3_Rep1_S3	Arm_P14_Day30_H3K9me3_Rep2_S4	Arm_P14_Day30_H3K9me3_Rep3_S1	Arm_P14_Day30_H3K9me3_Rep4_S2
peak1	chr1	2999964	3666894	.	666931	5245.68	4950.13	5459.38	5316.7
peak2	chr1	3674205	4256399	.	582195	4425.92	4307.4	4562.54	4474.74
peak3	chr1	4260325	4325091	.	64767	223.01	206.26	239.81	211.93
peak4	chr1	4334472	4346301	.	11830	57.59	50	67.29	56.44
peak5	chr1	4367756	4389398	.	21643	77.2	68.75	83.2	78.32
peak6	chr1	4395231	4404511	.	9281	45.34	54.17	44.05	40.31
peak7	chr1	4434027	4448660	.	14634	149.49	127.09	148.05	125.55
peak8	chr1	4483897	4486875	.	2979	42.89	36.46	29.36	39.16
peak9	chr1	4556974	4568283	.	11310	133.56	156.25	135.81	135.91
peak10	chr1	4604803	4607669	.	2867	8.58	10.42	11.01	6.91
peak11	chr1	4633061	4637200	.	4140	9.8	18.75	20.8	16.13
peak12	chr1	4661270	4666171	.	4902	7.35	11.46	12.24	9.21
peak13	chr1	4677054	4687359	.	10306	28.18	19.79	25.69	18.43
peak14	chr1	4709140	4719269	.	10130	52.69	51.04	56.28	70.26
peak15	chr1	4730831	4735291	.	4461	24.51	11.46	22.02	19.58
peak16	chr1	4785614	4790240	.	4627	40.44	48.96	39.15	43.77
peak17	chr1	4918809	4923497	.	4689	57.59	67.71	59.95	67.96
peak18	chr1	4946435	4954799	.	8365	68.62	59.38	50.16	70.26
peak19	chr1	4979295	4992630	.	13336	75.97	96.88	90.54	80.63
peak20	chr1	5034808	5040951	.	6144	88.22	91.67	106.45	104.81
peak21	chr1	5047705	5049862	.	2158	4.9	2.08	3.67	10.37
peak22	chr1	5057206	5062327	.	5122	42.89	42.71	35.48	42.62
peak23	chr1	5077096	5082329	.	5234	78.42	64.58	69.74	73.72
peak24	chr1	5165084	5905407	.	740324	5528.73	5380.35	5585.4	5586.22
peak25	chr1	5919158	6132568	.	213411	1264.55	1200.03	1256.56	1308.44
peak26	chr1	6138480	6178690	.	40211	435	386.47	386.63	415.8
peak27	chr1	6252976	6254727	.	1752	11.03	18.75	11.01	21.88
peak28	chr1	6264648	6269558	.	4911	33.08	47.92	35.48	39.16
peak29	chr1	6291750	6303114	.	11365	45.34	57.29	53.84	50.68
peak30	chr1	6309908	6311990	.	2083	11.03	6.25	7.34	9.21
peak31	chr1	6331785	6341922	.	10138	69.84	63.54	73.41	72.56
peak32	chr1	6423360	6426093	.	2734	47.79	52.08	41.6	25.34
peak33	chr1	6430337	6437486	.	7150	136.01	133.34	126.02	134.76
peak34	chr1	6508749	6517239	.	8491	58.82	61.46	64.85	69.11
peak35	chr1	6532112	6541275	.	9164	47.79	37.5	45.27	46.07
peak36	chr1	6556328	6577828	.	21501	111.51	100	113.79	129
peak37	chr1	6580280	6584528	.	4249	6.13	12.5	12.24	8.06
peak38	chr1	6586995	6588924	.	1930	6.13	5.21	3.67	4.61
peak39	chr1	6607350	6612018	.	4669	7.35	5.21	9.79	6.91
peak40	chr1	6616404	6638056	.	21653	93.13	106.25	101.55	101.36
peak41	chr1	6641890	6711445	.	69556	232.81	263.55	248.38	292.56
peak42	chr1	6714434	6732665	.	18232	23.28	25	36.71	57.59
peak43	chr1	6737657	6742275	.	4619	9.8	5.21	8.56	10.37
peak44	chr1	6745638	6759858	.	14221	12.25	21.88	14.68	34.55
peak45	chr1	6766576	6771754	.	5179	6.13	4.17	13.46	9.21
peak46	chr1	6791699	6799670	.	7972	13.48	15.63	18.35	16.13
peak47	chr1	6812742	6822253	.	9512	12.25	19.79	19.58	16.13
peak48	chr1	6877728	6887507	.	9780	20.83	20.83	22.02	26.49
peak49	chr1	6895329	6926740	.	31412	175.22	170.84	138.26	170.47
peak50	chr1	6946281	6963854	.	17574	102.93	65.63	72.19	82.93
peak51	chr1	7040480	7043204	.	2725	12.25	14.58	12.24	12.67
peak52	chr1	7061459	7067869	.	6411	165.42	147.92	146.82	141.67
peak53	chr1	7080151	7085997	.	5847	69.84	66.67	56.28	59.89
peak54	chr1	7093419	7095295	.	1877	22.06	19.79	15.91	23.04
peak55	chr1	7125746	7127344	.	1599	9.8	14.58	14.68	9.21
peak56	chr1	7181655	7184547	.	2893	15.93	14.58	25.69	21.88
peak57	chr1	7190657	7196741	.	6085	111.51	86.46	78.31	82.93
peak58	chr1	7230717	7260672	.	29956	263.45	293.76	310.78	291.4
peak59	chr1	7262082	7265354	.	3273	7.35	8.33	14.68	6.91
peak60	chr1	7268391	7310230	.	41840	354.12	380.22	386.63	359.36
peak61	chr1	7312722	7374149	.	61428	447.25	463.55	455.15	467.63
peak62	chr1	7389182	7398447	.	9266	56.37	47.92	58.73	65.65
peak63	chr1	7433553	7438167	.	4615	33.08	36.46	26.92	33.4
peak64	chr1	7453174	7456525	.	3352	14.7	21.88	23.25	34.55
peak65	chr1	7472245	7488272	.	16028	165.42	143.75	141.93	147.43
peak66	chr1	7494986	7501743	.	6758	30.63	25	19.58	26.49
peak67	chr1	7506959	7516780	.	9822	33.08	31.25	36.71	25.34
peak68	chr1	7521429	7523857	.	2429	7.35	6.25	12.24	9.21
peak69	chr1	7527097	7542302	.	15206	67.39	60.42	83.2	72.56
peak70	chr1	7547048	9295580	.	1748533	17953.67	17766.08	18289.29	18359.67
peak71	chr1	9303804	9458332	.	154529	960.67	896.9	1026.54	1008.98
peak72	chr1	9474068	9480385	.	6318	12.25	14.58	15.91	10.37
peak73	chr1	9483526	9490871	.	7346	33.08	45.83	39.15	35.71
peak74	chr1	9734518	9736313	.	1796	18.38	11.46	22.02	27.64
peak75	chr1	10119131	10123360	.	4230	28.18	28.13	36.71	25.34
peak77	chr1	10196965	10199451	.	2487	45.34	46.88	47.72	50.68
peak78	chr1	10250137	10253094	.	2958	28.18	17.71	30.59	27.64
peak79	chr1	10341132	10346531	.	5400	22.06	23.96	36.71	31.1
peak80	chr1	10356260	10368519	.	12260	67.39	54.17	68.52	71.41
peak81	chr1	10381573	10392768	.	11196	96.8	96.88	92.99	114.03
peak82	chr1	10419341	10427921	.	8581	80.87	87.5	94.21	94.45
peak83	chr1	10430817	10449901	.	19085	109.06	98.96	123.58	115.18
peak84	chr1	10460884	10472689	.	11806	115.18	112.5	119.91	126.7
peak85	chr1	10494606	10498088	.	3483	18.38	31.25	23.25	20.73
peak86	chr1	10510262	10549089	.	38828	307.56	279.17	297.32	317.9
peak87	chr1	10552168	10562863	.	10696	45.34	42.71	53.84	57.59
peak88	chr1	10572802	10575297	.	2496	17.15	6.25	13.46	11.52
peak89	chr1	10599489	10604173	.	4685	33.08	19.79	17.13	34.55
peak90	chr1	10609823	10612728	.	2906	13.48	16.67	14.68	17.28
peak91	chr1	10639206	10755318	.	116113	923.91	816.69	904.19	934.11
peak92	chr1	10758375	10766101	.	7727	57.59	53.13	70.96	66.8
peak93	chr1	10781096	10830613	.	49518	406.81	388.55	445.36	442.29
peak94	chr1	10837155	10850089	.	12935	75.97	62.5	58.73	97.9
peak95	chr1	10854127	10874987	.	20861	153.17	154.17	198.21	191.2
peak96	chr1	10876424	10940951	.	64528	631.05	559.39	614.21	596.63
peak97	chr1	10960998	10989598	.	28601	267.12	264.59	267.95	270.67
peak98	chr1	11000341	11008032	.	7692	42.89	35.42	64.85	35.71
peak99	chr1	11017833	11059725	.	41893	354.12	312.51	343.81	332.87
peak100	chr1	11066765	11087209	.	20445	147.04	145.84	151.72	158.95
peak101	chr1	11090482	11104498	.	14017	50.24	67.71	64.85	73.72
peak102	chr1	11108592	11138494	.	29903	187.48	171.88	190.87	194.65
peak103	chr1	11139757	11147224	.	7468	51.46	43.75	50.16	43.77
peak104	chr1	11151896	11228237	.	76342	498.71	484.39	504.09	504.49
peak105	chr1	11228987	11247734	.	18748	145.82	108.34	133.36	139.37
peak106	chr1	11250995	11470099	.	219105	1830.66	1792.75	1892.8	1708.12
peak107	chr1	11470939	12644343	.	1173405	12059.79	12085.73	12461.63	12467.07
peak108	chr1	12645285	12689889	.	44605	468.08	471.89	472.28	480.3
peak109	chr1	12694015	12716729	.	22715	127.44	143.75	126.02	140.52
peak110	chr1	12720282	12818072	.	97791	748.68	841.69	834.45	855.79
peak111	chr1	12896775	12900893	.	4119	24.51	29.17	31.81	26.49
peak112	chr1	13138514	13139798	.	1285	14.7	17.71	24.47	12.67
peak114	chr1	13207483	13213875	.	6393	64.94	70.84	67.29	63.35
peak115	chr1	13336951	13340337	.	3387	29.41	29.17	22.02	33.4
peak116	chr1	13456987	13463094	.	6108	49.01	41.67	48.94	55.29
peak117	chr1	13470071	13478178	.	8108	72.3	77.09	88.09	90.99
peak118	chr1	13508176	13510315	.	2140	28.18	21.88	29.36	14.97
peak119	chr1	13514253	13516205	.	1953	13.48	14.58	11.01	12.67
peak120	chr1	13547394	13559501	.	12108	194.83	219.8	210.45	217.69
peak121	chr1	13604736	13606195	.	1460	22.06	15.63	12.24	17.28
peak122	chr1	13616147	13620838	.	4692	161.74	152.09	155.39	139.37
peak124	chr1	13644782	13646139	.	1358	7.35	6.25	6.12	3.46
peak125	chr1	13686398	13688049	.	1652	19.61	18.75	20.8	16.13
peak126	chr1	13719637	13727705	.	8069	62.49	58.33	58.73	58.74
peak127	chr1	13731252	13736876	.	5625	49.01	81.25	80.75	55.29
peak128	chr1	13760068	13769476	.	9409	94.35	77.09	89.32	86.38
peak129	chr1	13791358	13793904	.	2547	8.58	6.25	8.56	8.06
peak130	chr1	13810017	13822470	.	12454	105.38	101.04	107.67	100.21
peak131	chr1	13884854	13888699	.	3846	12.25	17.71	20.8	16.13
peak132	chr1	13891483	13899085	.	7603	91.9	85.42	81.98	76.02
peak133	chr1	13906638	13909100	.	2463	24.51	13.54	23.25	25.34
peak134	chr1	13948877	13952800	.	3924	19.61	13.54	18.35	25.34
peak135	chr1	13958138	13967595	.	9458	63.72	59.38	46.49	72.56
peak136	chr1	13976150	13979745	.	3596	25.73	12.5	23.25	11.52
peak137	chr1	14028654	14035700	.	7047	50.24	67.71	46.49	54.13
peak138	chr1	14056157	14059812	.	3656	12.25	9.38	12.24	17.28
peak139	chr1	14062052	14069484	.	7433	34.31	40.63	40.38	43.77
peak140	chr1	14075245	14094577	.	19333	167.87	180.21	160.28	178.53
peak141	chr1	14101426	14108206	.	6781	30.63	31.25	39.15	28.79
peak142	chr1	14110877	14119954	.	9078	128.66	100	111.34	104.81
peak143	chr1	14127783	14132190	.	4408	13.48	11.46	19.58	18.43
peak144	chr1	14332699	14340788	.	8090	40.44	42.71	31.81	34.55
peak145	chr1	14365167	14367278	.	2112	15.93	10.42	14.68	23.04
peak146	chr1	14373451	14380695	.	7245	37.99	41.67	33.04	50.68
peak147	chr1	14384659	14404127	.	19469	98.03	92.71	81.98	89.84
peak148	chr1	14441902	14454677	.	12776	122.53	130.21	107.67	135.91
peak149	chr1	14475412	14483944	.	8533	68.62	72.92	74.64	76.02
peak150	chr1	14534115	14538463	.	4349	25.73	21.88	22.02	28.79
peak151	chr1	14605769	14608777	.	3009	14.7	16.67	19.58	13.82
peak153	chr1	14716689	14723844	.	7156	31.86	28.13	47.72	35.71
peak155	chr1	14804255	14808511	.	4257	20.83	13.54	14.68	24.19
peak156	chr1	14936898	14944578	.	7681	20.83	18.75	20.8	19.58
peak157	chr1	14956513	14978255	.	21743	149.49	150	119.91	173.92
peak158	chr1	14984062	14994561	.	10500	99.25	105.21	118.68	100.21
peak159	chr1	15019595	15026282	.	6688	88.22	92.71	92.99	105.97
peak160	chr1	15029996	15283345	.	253350	1748.56	1726.09	1771.67	1914.29
peak161	chr1	15290710	15620430	.	329721	2061.02	2009.43	2082.44	2150.41
peak162	chr1	15638334	15644040	.	5707	24.51	30.21	28.14	18.43
peak163	chr1	15657934	15664631	.	6698	39.21	15.63	23.25	32.25
peak164	chr1	15668303	15670877	.	2575	11.03	8.33	11.01	13.82
peak165	chr1	15684497	15689530	.	5034	7.35	12.5	15.91	16.13
peak166	chr1	15690092	15698089	.	7998	34.31	33.33	24.47	34.55
peak167	chr1	15699766	15705002	.	5237	18.38	14.58	17.13	11.52
peak168	chr1	15707682	15712697	.	5016	29.41	18.75	22.02	21.88
peak169	chr1	15726941	15747519	.	20579	159.29	159.38	150.49	170.47
peak170	chr1	15759826	15767286	.	7461	66.17	86.46	69.74	84.08
peak171	chr1	15860986	15871032	.	10047	58.82	85.42	72.19	77.17
peak173	chr1	15928306	15934104	.	5799	77.2	76.04	77.08	73.72
peak174	chr1	15947429	15959283	.	11855	111.51	102.09	104	110.57
peak175	chr1	15963698	15972822	.	9125	79.65	80.21	66.07	59.89
