peakN	Chr	Start	End	Strand	Length	Naive_P14_Day30_H3K9me3_Rep1_S1	Naive_P14_Day30_H3K9me3_Rep2_S2	Naive_P14_Day30_H3K9me3_Rep3_S1	Naive_P14_Day30_H3K9me3_Rep4_S2	Naive_P14_Day32_H3K9me3_Rep1_S5	Naive_P14_Day32_H3K9me3_Rep2_S6	Naive_P14_Day32_H3K9me3_Rep3_S7	Naive_P14_Day32_H3K9me3_Rep4_S8
peak1	chr1	2999964	3666894	.	666931	12111.23	11766.75	11825.37	11993.13	11703.67	12256.58	12289	11994.33
peak2	chr1	3674205	4256399	.	582195	10128.99	9987.36	9765.56	10175.86	10068.81	10172.81	10359.11	10165.17
peak3	chr1	4260325	4325091	.	64767	702.03	705.88	686.06	693.87	659.55	675.04	646.19	655.51
peak4	chr1	4334472	4346301	.	11830	103.34	99.7	106.05	95.73	79.62	94.56	100.02	99.61
peak5	chr1	4367756	4389398	.	21643	169.1	167.35	143.58	171.14	161.95	154.97	139.15	165.48
peak6	chr1	4395231	4404511	.	9281	109.32	92.57	119.92	97.43	97.71	85.8	107.84	110.05
peak7	chr1	4434027	4448660	.	14634	156.29	173.58	179.47	149.11	160.14	165.48	140.02	163.07
peak8	chr1	4483897	4486875	.	2979	32.45	41.84	44.87	41.51	43.43	34.15	45.22	45.79
peak9	chr1	4556974	4568283	.	11310	126.4	119.28	124.81	133.86	144.76	119.07	133.94	123.71
peak10	chr1	4604803	4607669	.	2867	15.37	16.91	17.95	11.86	19.9	15.76	16.52	14.46
peak11	chr1	4633061	4637200	.	4140	25.62	24.92	15.5	20.33	28.95	15.76	20.87	28.92
peak12	chr1	4661270	4666171	.	4902	40.14	45.4	35.08	52.53	37.09	36.77	26.09	41.77
peak13	chr1	4677054	4687359	.	10306	80.28	90.79	63.63	85.57	81.43	72.67	73.06	69.09
peak14	chr1	4709140	4719269	.	10130	136.65	107.71	110.13	126.23	113.09	119.07	102.63	109.25
peak15	chr1	4730831	4735291	.	4461	49.53	55.19	50.58	63.54	46.14	44.65	48.7	46.59
peak16	chr1	4785614	4790240	.	4627	28.18	34.72	35.89	27.11	32.57	34.15	27.83	34.54
peak17	chr1	4918809	4923497	.	4689	68.32	74.77	66.08	89.8	76	65.66	73.06	71.5
peak18	chr1	4946435	4954799	.	8365	80.28	83.67	88.92	90.65	89.57	84.05	86.1	81.94
peak19	chr1	4979295	4992630	.	13336	160.56	162.9	164.79	171.14	152.9	178.61	156.55	180.75
peak20	chr1	5034808	5040951	.	6144	79.43	85.45	94.63	94.89	109.47	98.94	81.75	73.1
peak21	chr1	5047705	5049862	.	2158	18.79	20.47	17.95	11.86	11.76	12.26	13.05	8.84
peak22	chr1	5057206	5062327	.	5122	51.24	53.41	44.05	41.51	47.05	48.15	51.31	39.36
peak23	chr1	5077096	5082329	.	5234	75.16	56.97	66.89	67.78	57	70.04	75.66	68.28
peak24	chr1	5165084	5905407	.	740324	12014.72	11775.65	11807.42	12171.04	11869.24	12077.09	12302.91	11838.48
peak25	chr1	5919158	6132568	.	213411	2951.58	2917.88	2980	3002.52	3085.15	3020.59	2963.1	2966.65
peak26	chr1	6138480	6178690	.	40211	497.91	487.8	495.17	481.22	477.7	499.93	458.34	474.76
peak27	chr1	6252976	6254727	.	1752	11.96	16.91	19.58	12.71	13.57	13.13	16.52	6.43
peak28	chr1	6264648	6269558	.	4911	23.06	19.58	32.63	22.87	18.09	19.26	19.13	13.66
peak29	chr1	6291750	6303114	.	11365	106.76	90.79	96.26	106.75	111.28	112.07	99.15	85.95
peak30	chr1	6309908	6311990	.	2083	14.52	23.14	15.5	17.79	21.71	11.38	13.05	12.85
peak31	chr1	6331785	6341922	.	10138	112.73	132.63	120.73	108.44	119.43	99.81	119.15	106.84
peak32	chr1	6423360	6426093	.	2734	58.08	58.75	48.95	56.76	63.33	49.91	56.53	57.84
peak33	chr1	6430337	6437486	.	7150	95.65	92.57	89.73	113.53	100.43	97.18	114.8	96.4
peak34	chr1	6508749	6517239	.	8491	74.3	60.53	73.42	62.69	69.66	56.91	74.8	77.92
peak35	chr1	6532112	6541275	.	9164	75.16	82.78	69.34	79.64	82.33	53.41	63.49	74.71
peak36	chr1	6556328	6577828	.	21501	217.78	189.6	174.57	197.4	178.23	158.47	181.77	183.96
peak37	chr1	6580280	6584528	.	4249	33.31	12.46	30.18	29.65	25.33	24.51	29.57	23.3
peak38	chr1	6586995	6588924	.	1930	18.79	19.58	9.79	11.01	9.05	9.63	7.83	13.66
peak39	chr1	6607350	6612018	.	4669	29.89	30.26	22.84	26.26	28.05	16.64	30.44	29.72
peak40	chr1	6616404	6638056	.	21653	189.6	194.94	207.21	213.5	206.28	196.99	222.65	201.63
peak41	chr1	6641890	6711445	.	69556	622.6	650.69	614.27	645.58	588.98	577.85	609.67	605.7
peak42	chr1	6714434	6732665	.	18232	119.57	117.5	100.34	96.58	117.62	117.32	106.97	127.73
peak43	chr1	6737657	6742275	.	4619	40.14	38.28	46.5	25.42	27.14	34.15	26.09	24.1
peak44	chr1	6745638	6759858	.	14221	84.55	97.92	57.1	68.62	72.38	66.54	78.27	85.95
peak45	chr1	6766576	6771754	.	5179	39.29	26.7	31.81	28.81	32.57	35.02	24.35	31.33
peak46	chr1	6791699	6799670	.	7972	49.53	53.41	45.68	53.37	39.81	54.28	46.09	40.17
peak47	chr1	6812742	6822253	.	9512	69.18	66.76	66.89	90.65	67.86	60.41	67.84	62.66
peak48	chr1	6877728	6887507	.	9780	65.76	49.85	69.34	63.54	53.38	52.53	60.01	50.61
peak49	chr1	6895329	6926740	.	31412	308.31	282.17	293.68	307.54	275.04	294.18	308.75	272.32
peak50	chr1	6946281	6963854	.	17574	136.65	154.88	152.55	132.17	163.76	133.08	151.33	141.38
peak51	chr1	7040480	7043204	.	2725	34.16	21.36	16.32	16.1	28.95	12.26	20	16.87
peak52	chr1	7061459	7067869	.	6411	144.33	137.08	134.6	135.55	162.85	161.97	155.68	151.83
peak53	chr1	7080151	7085997	.	5847	61.49	75.66	67.71	77.1	68.76	63.91	64.36	68.28
peak54	chr1	7093419	7095295	.	1877	11.96	7.12	8.16	10.17	13.57	8.76	10.44	9.64
peak55	chr1	7125746	7127344	.	1599	7.69	13.35	9.79	11.86	8.14	9.63	15.65	8.84
peak56	chr1	7181655	7184547	.	2893	32.45	38.28	36.71	48.29	41.62	28.02	40.01	44.18
peak57	chr1	7190657	7196741	.	6085	85.4	61.42	79.95	61	74.19	87.55	73.93	72.3
peak58	chr1	7230717	7260672	.	29956	348.45	363.18	353.23	343.97	351.04	335.33	376.58	328.56
peak59	chr1	7262082	7265354	.	3273	17.93	25.81	26.1	20.33	30.76	21.89	23.48	18.48
peak60	chr1	7268391	7310230	.	41840	542.32	565.24	485.38	558.31	510.27	473.66	516.61	525.37
peak61	chr1	7312722	7374149	.	61428	775.47	802.91	754.59	775.2	752.74	754.71	750.56	735.04
peak62	chr1	7389182	7398447	.	9266	37.58	28.48	31	35.58	32.57	29.77	23.48	22.49
peak63	chr1	7433553	7438167	.	4615	50.39	55.19	39.16	49.14	39.81	33.27	40.88	42.58
peak64	chr1	7453174	7456525	.	3352	22.21	36.5	31	26.26	39.81	42.03	31.31	38.56
peak65	chr1	7472245	7488272	.	16028	164.83	170.02	162.34	159.28	151.09	161.1	151.33	152.63
peak66	chr1	7494986	7501743	.	6758	52.95	48.96	35.89	43.21	43.43	28.89	30.44	44.99
peak67	chr1	7506959	7516780	.	9822	68.32	56.08	63.63	67.78	52.47	56.03	45.22	49
peak68	chr1	7521429	7523857	.	2429	19.64	19.58	18.76	26.26	16.29	15.76	21.74	13.66
peak69	chr1	7527097	7542302	.	15206	129.81	128.18	107.68	104.21	106.76	101.56	101.76	131.74
peak70	chr1	7547048	9295580	.	1748533	31799.55	31923.05	32032.75	32230.48	33305.16	32617.08	32615.85	33359.35
peak71	chr1	9303804	9458332	.	154529	1826.8	1771.38	1820.79	1768.98	1757.9	1700.28	1722.03	1782.56
peak72	chr1	9474068	9480385	.	6318	35.87	26.7	31.81	19.49	25.33	26.27	34.79	30.53
peak73	chr1	9483526	9490871	.	7346	60.64	66.76	67.71	65.24	74.19	56.91	69.58	74.71
peak74	chr1	9734518	9736313	.	1796	23.06	18.69	22.84	19.49	20.81	24.51	20.87	16.87
peak75	chr1	10119131	10123360	.	4230	38.43	38.28	46.5	48.29	35.28	35.9	35.66	40.97
peak77	chr1	10196965	10199451	.	2487	29.04	28.48	31.81	19.49	28.05	21.89	26.09	25.71
peak78	chr1	10250137	10253094	.	2958	41.85	43.62	40.79	38.12	29.86	35.9	32.18	26.51
peak79	chr1	10341132	10346531	.	5400	63.2	74.77	66.08	75.4	67.86	63.91	60.01	67.48
peak80	chr1	10356260	10368519	.	12260	117.86	93.46	111.76	93.19	93.19	104.19	100.89	96.4
peak81	chr1	10381573	10392768	.	11196	122.13	110.38	113.39	125.39	89.57	109.44	107.84	114.07
peak82	chr1	10419341	10427921	.	8581	98.22	96.13	89.73	108.44	93.19	111.19	91.32	91.58
peak83	chr1	10430817	10449901	.	19085	157.14	148.65	131.34	149.96	142.04	140.09	142.63	135.76
peak84	chr1	10460884	10472689	.	11806	105.05	100.59	99.52	106.75	105.85	108.57	122.63	96.4
peak85	chr1	10494606	10498088	.	3483	20.5	20.47	24.47	16.1	21.71	20.14	17.39	28.92
peak86	chr1	10510262	10549089	.	38828	339.91	343.59	361.39	363.45	326.61	333.58	332.23	343.02
peak87	chr1	10552168	10562863	.	10696	67.47	77.44	73.42	62.69	74.19	49.91	64.36	46.59
peak88	chr1	10572802	10575297	.	2496	21.35	18.69	19.58	20.33	19	14.01	19.13	18.48
peak89	chr1	10599489	10604173	.	4685	27.33	18.69	18.76	23.72	19	12.26	32.18	15.26
peak90	chr1	10609823	10612728	.	2906	14.52	10.68	8.16	11.86	14.48	21.89	18.26	19.28
peak91	chr1	10639206	10755318	.	116113	968.49	970.25	910.4	908.21	917.4	959.58	937.55	874.01
peak92	chr1	10758375	10766101	.	7727	52.95	56.08	37.53	44.06	41.62	43.78	42.62	55.43
peak93	chr1	10781096	10830613	.	49518	366.39	374.75	389.12	382.94	392.66	371.23	378.32	373.54
peak94	chr1	10837155	10850089	.	12935	88.82	107.71	95.44	82.18	75.09	92.81	90.45	90.77
peak95	chr1	10854127	10874987	.	20861	127.25	143.31	132.15	141.48	140.23	122.57	140.89	142.19
peak96	chr1	10876424	10940951	.	64528	519.26	550.11	491.09	465.12	506.65	466.66	483.56	473.96
peak97	chr1	10960998	10989598	.	28601	236.57	218.97	214.55	212.65	225.28	226.76	216.56	208.86
peak98	chr1	11000341	11008032	.	7692	32.45	26.7	24.47	23.72	24.43	35.02	37.4	24.1
peak99	chr1	11017833	11059725	.	41893	261.34	258.14	257.78	242.3	244.28	266.16	257.43	224.13
peak100	chr1	11066765	11087209	.	20445	153.73	137.97	146.02	128.78	144.76	139.21	122.63	129.33
peak101	chr1	11090482	11104498	.	14017	46.97	54.3	55.47	55.07	66.05	48.15	56.53	58.64
peak102	chr1	11108592	11138494	.	29903	152.02	135.3	151.73	145.72	125.76	117.32	125.24	120.5
peak103	chr1	11139757	11147224	.	7468	32.45	23.14	23.66	22.87	22.62	23.64	27.83	24.9
peak104	chr1	11151896	11228237	.	76342	443.25	368.52	399.73	390.56	424.32	353.72	367.02	409.69
peak105	chr1	11228987	11247734	.	18748	142.63	114.83	106.05	132.17	117.62	115.57	115.67	122.1
peak106	chr1	11250995	11470099	.	219105	2154.76	2072.24	2053.29	2130.74	2077.27	2011.1	2102.96	2093.44
peak107	chr1	11470939	12644343	.	1173405	20431.34	20148.29	20233.49	20671.97	20507.66	20670.44	20791.28	20936.85
peak108	chr1	12645285	12689889	.	44605	676.4	696.09	659.14	699.8	669.5	687.29	688.81	694.07
peak109	chr1	12694015	12716729	.	22715	156.29	171.8	162.34	157.58	156.52	162.85	153.07	143.79
