peakN	Chr	Start	End	Strand	Length	Arm_P14_Day30_H3K27me3_Rep1_S7	Arm_P14_Day30_H3K27me3_Rep2_S8	Arm_P14_Day30_H3K27me3_Rep3_S3	Arm_P14_Day30_H3K27me3_Rep4_S4
peak1	chr1	3151664	3159110	.	7447	68.43	57.28	70.29	66.91
peak2	chr1	3667258	3675412	.	8155	85.31	99.03	92.07	94.7
peak5	chr1	4427523	4436689	.	9167	71.1	77.67	78.21	85.44
peak6	chr1	4444445	4469915	.	25471	313.71	286.42	280.17	281.01
peak7	chr1	4481138	4483713	.	2576	97.76	90.3	90.09	93.67
peak8	chr1	4486933	4517816	.	30884	2649.2	2726.33	2749.28	2730.84
peak9	chr1	4528111	4552551	.	24441	319.93	287.39	292.06	312.92
peak10	chr1	4567214	4580401	.	13188	413.24	414.58	379.18	436.44
peak11	chr1	4581432	4589344	.	7913	81.76	81.56	96.03	81.32
peak12	chr1	4617062	4622552	.	5491	41.77	56.31	44.55	37.06
peak13	chr1	4632292	4719363	.	87072	1407.69	1354.43	1364.24	1373.14
peak14	chr1	4724378	4763419	.	39042	2180.86	2214.66	2212.69	2125.59
peak15	chr1	4787295	4806838	.	19544	2164.86	2228.25	2216.65	2228.52
peak16	chr1	4907474	4975379	.	67906	744.73	769.94	756.37	737.01
peak17	chr1	4978267	4983514	.	5248	46.21	49.52	42.57	44.26
peak18	chr1	4992926	4996676	.	3751	40.88	51.46	30.69	46.32
peak19	chr1	5010315	5031919	.	21605	1188.18	1129.18	1192.97	1155.95
peak20	chr1	5047735	5083178	.	35444	860.26	865.09	848.44	808.03
peak21	chr1	5173474	5187521	.	14048	125.31	115.54	95.04	133.81
peak22	chr1	5250500	5256291	.	5792	43.55	48.55	45.54	48.38
peak24	chr1	5677575	5681778	.	4204	41.77	55.34	50.49	55.58
peak25	chr1	5915036	5919770	.	4735	16	23.3	19.8	26.76
peak26	chr1	6009475	6012247	.	2773	28.44	25.24	35.64	40.14
peak27	chr1	6125683	6130853	.	5171	29.33	27.19	33.66	33.97
peak28	chr1	6134910	6138180	.	3271	27.55	23.3	23.76	28.82
